Accident_ID,Date,Time,Weather,Road_Condition,Road_Type,Traffic_Density,Speed_Limit,Vehicle_Type,Driver_Age,Light_Condition,Number_of_Vehicles,Number_of_Casualties,Accident_Severity
ACC0001,2025-04-13,22:01,Rainy,Wet,Highway,High,100,Car,51.0,Daylight,1,1,Severe
ACC0002,2025-12-15,16:27,Clear,Potholes,City Road,Medium,100,Car,20.0,Daylight,3,1,Moderate
ACC0003,2025-09-28,19:23,Cloudy,Wet,Rural Road,Medium,50,Car,41.0,Night,3,3,Moderate
ACC0004,2025-04-17,11:49,Clear,Dry,Intersection,Medium,80,Car,59.0,Street Light,4,1,Moderate
ACC0005,2025-03-13,02:59,Clear,Icy,Intersection,Low,30,Bus,26.0,Daylight,3,2,Moderate
ACC0006,2025-07-08,00:32,Rainy,Wet,City Road,Medium,100,Bike,43.0,Street Light,4,1,Severe
ACC0007,2025-01-21,18:42,Clear,Wet,City Road,Medium,100,Auto,37.0,Night,1,0,Moderate
ACC0008,2025-04-13,04:11,Clear,Dry,City Road,Medium,40,Bike,57.0,Street Light,1,4,Minor
ACC0009,2025-05-02,02:00,Foggy,Wet,Rural Road,Medium,100,Bus,27.0,Night,1,1,Moderate
ACC0010,2025-08-03,00:39,Clear,Dry,Highway,High,70,Truck,36.0,Street Light,2,3,Moderate
ACC0011,2025-11-27,09:42,Rainy,Wet,City Road,High,80,Bike,20.0,Daylight,4,2,Severe
ACC0012,2025-03-29,11:28,Clear,Dry,Rural Road,Medium,30,Bike,41.0,Street Light,1,0,Minor
ACC0013,2025-04-10,12:11,Clear,Wet,City Road,Medium,30,Bus,22.0,Daylight,4,5,Moderate
ACC0014,2025-12-26,13:01,Clear,Icy,City Road,Medium,40,Car,20.0,Street Light,3,1,Moderate
ACC0015,2025-06-01,18:49,Clear,Dry,City Road,Low,50,Car,44.0,No Light,3,4,Moderate
ACC0016,2025-05-11,02:22,Foggy,Icy,Highway,Medium,30,Bike,33.0,Daylight,1,1,Moderate
ACC0017,2025-05-30,16:25,Clear,Dry,City Road,Low,70,Bike,66.0,Daylight,4,4,Moderate
ACC0018,2025-11-05,07:28,Rainy,Potholes,City Road,Medium,30,Car,32.0,Street Light,1,0,Moderate
ACC0019,2025-09-15,09:25,Rainy,Wet,Highway,Medium,70,Auto,52.0,Daylight,3,2,Severe
ACC0020,2025-12-10,01:50,Rainy,Wet,Highway,Low,80,Bike,29.0,Street Light,1,3,Severe
ACC0021,2025-10-21,08:06,Cloudy,Wet,Rural Road,High,80,Bike,58.0,Daylight,4,4,Severe
ACC0022,2025-07-11,03:57,Foggy,Potholes,Highway,High,60,Auto,70.0,Daylight,3,4,Severe
ACC0023,2025-10-04,20:49,Clear,Dry,City Road,High,60,Bike,61.0,No Light,2,3,Moderate
ACC0024,2025-06-10,12:10,Clear,Dry,Highway,Medium,70,Auto,43.0,Night,3,4,Moderate
ACC0025,2025-11-10,23:35,Clear,Wet,Intersection,High,50,Bike,64.0,Street Light,2,1,Moderate
ACC0026,2025-01-22,20:56,Rainy,Potholes,Highway,Low,30,Car,51.0,Daylight,1,1,Moderate
ACC0027,2025-09-10,03:09,Clear,Wet,City Road,High,100,Bus,40.0,Night,1,1,Moderate
ACC0028,2025-08-24,04:08,Rainy,Wet,Rural Road,Low,30,Bike,48.0,Night,4,1,Moderate
ACC0029,2025-12-11,23:34,Rainy,Dry,Rural Road,High,60,Bus,67.0,Night,2,1,Moderate
ACC0030,2025-02-18,16:34,Clear,Potholes,Highway,Medium,100,Auto,37.0,Night,1,2,Moderate
ACC0031,2025-02-28,15:35,Foggy,Dry,Rural Road,High,70,Bus,29.0,Night,2,1,Moderate
ACC0032,2025-06-19,17:48,Clear,Dry,City Road,High,100,Bike,,Daylight,1,2,Moderate
ACC0033,2025-07-07,06:31,Clear,Dry,City Road,Low,30,Truck,21.0,Daylight,3,1,Minor
ACC0034,2025-09-28,23:22,Foggy,Dry,Highway,Medium,30,Bike,40.0,Street Light,1,1,Minor
ACC0035,2025-07-09,04:11,Rainy,Dry,Highway,High,50,Bike,65.0,Daylight,4,2,Severe
ACC0036,2025-06-24,16:54,Rainy,Dry,Rural Road,Medium,40,Truck,65.0,Night,3,3,Moderate
ACC0037,2025-02-20,12:22,Clear,Wet,City Road,High,100,Car,18.0,Daylight,4,3,Severe
ACC0038,2025-12-30,02:40,Clear,Dry,City Road,Medium,60,Bus,42.0,Night,3,2,Moderate
ACC0039,2025-02-24,16:48,Foggy,Dry,Rural Road,Medium,60,Truck,19.0,Night,2,1,Minor
